jahr_bescheinigung;betreiber;betreibernummer;datum_anzeige_bnetza;strasse;hausnummer;plz;ort;quelle_pdf_seite
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Engelbergstraße;41;79106;Freiburg;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Fritz-Haber-Weg;;76131;Karlsruhe;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Musbacher Straße;33;72250;Freudenstadt;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Rudolf-Plank-Straße;;76131;Karlsruhe;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schloß;4;97980;Bad Mergentheim;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Fridrichstraße;4;79410;Badenweiler;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Gutenbergstraße;17;76532;Baden-Baden;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Hasselbacher Straße;4;77704;Oberkirch;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Jobstweg;7;70176;Stuttgart;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Kaiserallee;1;76530;Baden-Baden;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Max-Egon-Straße;18;78166;Donaueschingen;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Reinhold-Frank-Straße;67;76133;Karlsruhe;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Vogesenstraße;22;77933;Lahr;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;West Hertzstraße;16;76187;Karlsruhe;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Zeller Straße;1-3;77654;Offenburg;9
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Bahnhofstraße;62;73312;Geislingen an der Steige;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Bissierstraße;1;79114;Freiburg im Breisgau;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Breisacher Straße;;79106;Freiburg im Breisgau;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Friedrichstraße;39;79098;Freiburg;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Hermann-Herder-Straße;8;79104;Freiburg im Breisgau;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Hubertus-Liebrecht-Straße;35;88400;Biberach an der Riß;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Katharinenstraße;;79104;Freiburg;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schaflandstraße;3_2;70736;Fellbach;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Weißhoferstraße;47;75015;Bretten;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Wolfgang-Brumme- Allee;52;71034;Böblingen;10
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Alfred-Wachtel-Straße;12;78462;Konstanz;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Am Schlossplatz;1-3;76131;Karlsruhe;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Badstraße;24;77652;Offenburg;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Gotthard-Franz-Straße;9;76131;Karlsruhe;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Hoffstraße;10;76133;Karlsruhe;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Kinzigstraße;8;77652;Offenburg;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Rheingutstraße;47;78462;Konstanz;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schlossplatz;16;76131;Karlsruhe;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Universitätsstraße;10;78464;Konstanz;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Weißenburger Straße;3;76187;Karlsruhe;11
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Albert-Einstein-Allee;;89081;Ulm;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Gestütshof;1;72532;Gomadingen;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Straße;10;70173;Stuttgart;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Straße;3;70173;Stuttgart;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Straße;30;70173;Stuttgart;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Kriegsbergstraße;32;70174;Stuttgart;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Rollwagstraße;16;74072;Heilbronn;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schellingstraße;25b;70174;Stuttgart;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schnarrenbergstraße;1;72076;Tübingen;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Seidenstraße;23;70176;Stuttgart;12
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Mühlbachäckerstraße;5;72072;Tübingen;13
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Wilhelmstraße;56;72074;Tübingen;13
2023;Parkraumgesellschaft Baden-Württemberg mbH - PBW;5224;18.10.2022;Heilbronner Str.;43;70191;Stuttgart;13
