thg_row;jahr;adresse_uba;ladeeinrichtungs_id;adresse_lsr;manual_note
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061578;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061579;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061580;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061581;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061582;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1046842;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1046843;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1046844;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
42;2025;Albert-Einstein-Allee 5, 89081 Ulm;1062309;Albert-Einstein-Allee 0, 89081 Ulm;"Hausnummer 5 vs. LSR 0; Straße/PLZ eindeutig"
42;2025;Albert-Einstein-Allee 5, 89081 Ulm;1062310;Albert-Einstein-Allee 0, 89081 Ulm;"Hausnummer 5 vs. LSR 0; Straße/PLZ eindeutig"
42;2025;Albert-Einstein-Allee 5, 89081 Ulm;1062311;Albert-Einstein-Allee 0, 89081 Ulm;"Hausnummer 5 vs. LSR 0; Straße/PLZ eindeutig"
42;2025;Albert-Einstein-Allee 5, 89081 Ulm;1062312;Albert-Einstein-Allee 0, 89081 Ulm;"Hausnummer 5 vs. LSR 0; Straße/PLZ eindeutig"
42;2025;Albert-Einstein-Allee 5, 89081 Ulm;1062313;Albert-Einstein-Allee 0, 89081 Ulm;"Hausnummer 5 vs. LSR 0; Straße/PLZ eindeutig"
46;2024;Engelbergstraße 41, 79106 Freiburg;1062396;Engelbergerstr. 41, 79106 Freiburg im Breisgau;Straßenname verkürzt/abweichend, Hausnummer identisch
49;2024;Fritz-Haber-Weg, 76131 Karlsruhe;1062427;Fritz-Haber-Weg 0, 76131 Karlsruhe;"UBA ohne Hausnummer; einziger PBW-LSR-Treffer auf Straße/PLZ"
50;2024;Rudolf-Plank-Straße, 76131 Karlsruhe;1062430;Rudolf-Plank-Str. 0, 76131 Karlsruhe;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
50;2024;Rudolf-Plank-Straße, 76131 Karlsruhe;1062432;Rudolf-Plank-Str. 0, 76131 Karlsruhe;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1061553;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1061555;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1061560;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1061562;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1061563;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152630;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152631;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152632;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152633;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152634;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152635;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
65;2024;Breisacher Straße, 79106 Freiburg im Breisgau;1152636;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
68;2024;Katharinenstraße, 79104 Freiburg;1062400;Katharinenstr. 0, 79104 Freiburg im Breisgau;"UBA ohne Hausnummer; einziger PBW-LSR-Treffer auf Straße/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061574;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061575;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061576;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061577;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061578;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061579;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061580;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061581;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1061582;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1046842;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1046843;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
75;2024;Am Schlossplatz 1-3, 76131 Karlsruhe;1046844;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Am Schlossplatz 1-3 vs. LSR 16/0; gleicher Platz/PLZ"
89;2024;Albert-Einstein-Allee, 89081 Ulm;1062309;Albert-Einstein-Allee 0, 89081 Ulm;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
89;2024;Albert-Einstein-Allee, 89081 Ulm;1062310;Albert-Einstein-Allee 0, 89081 Ulm;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
89;2024;Albert-Einstein-Allee, 89081 Ulm;1062311;Albert-Einstein-Allee 0, 89081 Ulm;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
89;2024;Albert-Einstein-Allee, 89081 Ulm;1062312;Albert-Einstein-Allee 0, 89081 Ulm;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
89;2024;Albert-Einstein-Allee, 89081 Ulm;1062313;Albert-Einstein-Allee 0, 89081 Ulm;"UBA ohne Hausnummer; PBW-LSR-Treffer auf Straße/PLZ"
